zip,City,County Name
78339,BANQUETE,NUECES
75101,BARDWELL,ELLIS
77413,BARKER,HARRIS
78828,BARKSDALE,EDWARDS
76930,BARNHART,IRION
75102,BARRY,NAVARRO
79719,BARSTOW,WARD
76511,BARTLETT,BELL
78602,BASTROP,BASTROP
78829,BATESVILLE,ZAVALA
77519,BATSON,HARDIN
77404,BAY CITY,MATAGORDA
77414,BAY CITY,MATAGORDA
78340,BAYSIDE,REFUGIO
77523,BAYTOWN,CHAMBERS
77520,BAYTOWN,HARRIS
77521,BAYTOWN,HARRIS
77522,BAYTOWN,HARRIS
77417,BEASLEY,FORT BEND
77701,BEAUMONT,JEFFERSON
77702,BEAUMONT,JEFFERSON
77703,BEAUMONT,JEFFERSON
77704,BEAUMONT,JEFFERSON
77705,BEAUMONT,JEFFERSON
77706,BEAUMONT,JEFFERSON
77707,BEAUMONT,JEFFERSON
77708,BEAUMONT,JEFFERSON
77709,BEAUMONT,JEFFERSON
77710,BEAUMONT,JEFFERSON
77713,BEAUMONT,JEFFERSON
77720,BEAUMONT,JEFFERSON
77725,BEAUMONT,JEFFERSON
77726,BEAUMONT,JEFFERSON
75631,BECKVILLE,PANOLA
76021,BEDFORD,TARRANT
76022,BEDFORD,TARRANT
76095,BEDFORD,TARRANT
77831,BEDIAS,GRIMES
78102,BEEVILLE,BEE
78104,BEEVILLE,BEE
77401,BELLAIRE,HARRIS
77402,BELLAIRE,HARRIS
76228,BELLEVUE,CLAY
75414,BELLS,GRAYSON
77418,BELLVILLE,AUSTIN
78604,BELMONT,GONZALES
76513,BELTON,BELL
78342,BEN BOLT,JIM WELLS
75754,BEN WHEELER,VAN ZANDT
78341,BENAVIDES,DUVAL
76824,BEND,SAN SABA
79505,BENJAMIN,KNOX
78107,BERCLAIR,GOLIAD
78004,BERGHEIM,KENDALL
78605,BERTRAM,BURNET
79834,BIG BEND NATIONAL PARK,BREWSTER
76932,BIG LAKE,REAGAN
75755,BIG SANDY,UPSHUR
79720,BIG SPRING,HOWARD
79721,BIG SPRING,HOWARD
78830,BIG WELLS,DIMMIT
78005,BIGFOOT,FRIO
78343,BISHOP,NUECES
75555,BIVINS,CASS
79506,BLACKWELL,NOLAN
78606,BLANCO,BLANCO
76432,BLANKET,BROWN
79314,BLEDSOE,COCHRAN
78931,BLEIBLERVILLE,AUSTIN
77419,BLESSING,MATAGORDA
75556,BLOOMBURG,CASS
76626,BLOOMING GROVE,NAVARRO
77951,BLOOMINGTON,VICTORIA
75416,BLOSSOM,LAMAR
75424,BLUE RIDGE,COLLIN
76433,BLUFF DALE,ERATH
78607,BLUFFTON,LLANO
76627,BLUM,HILL
78006,BOERNE,KENDALL
78015,BOERNE,KENDALL
75417,BOGATA,RED RIVER
77420,BOLING,WHARTON
75928,BON WIER,NEWTON
75418,BONHAM,FANNIN
79005,BOOKER,LIPSCOMB
79007,BORGER,HUTCHINSON
79008,BORGER,HUTCHINSON
79009,BOVINA,PARMER
76230,BOWIE,MONTAGUE
76023,BOYD,WISE
79010,BOYS RANCH,OLDHAM
78832,BRACKETTVILLE,KINNEY
76825,BRADY,MCCULLOCH
76628,BRANDON,HILL
75420,BRASHEAR,HOPKINS
77422,BRAZORIA,BRAZORIA
76424,BRECKENRIDGE,STEPHENS
76629,BREMOND,ROBERTSON
77833,BRENHAM,WASHINGTON
77834,BRENHAM,WASHINGTON
77611,BRIDGE CITY,ORANGE
76426,BRIDGEPORT,WISE
78608,BRIGGS,BURNET
79011,BRISCOE,WHEELER
75929,BROADDUS,SAN AUGUSTINE
75930,BRONSON,SABINE
76933,BRONTE,COKE
75931,BROOKELAND,JASPER
76827,BROOKESMITH,BROWN
77423,BROOKSHIRE,WALLER
75421,BROOKSTON,LAMAR
79316,BROWNFIELD,TERRY
75756,BROWNSBORO,HENDERSON
78520,BROWNSVILLE,CAMERON
78521,BROWNSVILLE,CAMERON
78522,BROWNSVILLE,CAMERON
78523,BROWNSVILLE,CAMERON
78526,BROWNSVILLE,CAMERON
76801,BROWNWOOD,BROWN
76804,BROWNWOOD,BROWN
76630,BRUCEVILLE,MCLENNAN
78344,BRUNI,WEBB
77801,BRYAN,BRAZOS
77802,BRYAN,BRAZOS
77803,BRYAN,BRAZOS
77805,BRYAN,BRAZOS
77806,BRYAN,BRAZOS
77807,BRYAN,BRAZOS
77808,BRYAN,BRAZOS
76427,BRYSON,JACK
78609,BUCHANAN DAM,LLANO
76518,BUCKHOLTS,MILAM
78610,BUDA,HAYS
75831,BUFFALO,LEON
79508,BUFFALO GAP,TAYLOR
75757,BULLARD,SMITH
78163,BULVERDE,COMAL
77612,BUNA,JASPER
76354,BURKBURNETT,WICHITA
75932,BURKEVILLE,NEWTON
76028,BURLESON,JOHNSON
76097,BURLESON,JOHNSON
76519,BURLINGTON,MILAM
78611,BURNET,BURNET
77835,BURTON,WASHINGTON
79012,BUSHLAND,POTTER
76357,BYERS,CLAY
76631,BYNUM,HILL
79013,CACTUS,MOORE
76429,CADDO,STEPHENS
75135,CADDO MILLS,HUNT
77836,CALDWELL,BURLESON
75933,CALL,NEWTON
78007,CALLIHAM,MCMULLEN
77837,CALVERT,ROBERTSON
75934,CAMDEN,POLK
76520,CAMERON,MILAM
78833,CAMP WOOD,REAL
75422,CAMPBELL,HUNT
78008,CAMPBELLTON,ATASCOSA
79014,CANADIAN,HEMPHILL
75103,CANTON,VAN ZANDT
79835,CANUTILLO,EL PASO
79015,CANYON,RANDALL
79016,CANYON,RANDALL
78133,CANYON LAKE,COMAL
76435,CARBON,EASTLAND
76934,CARLSBAD,TOM GREEN
76436,CARLTON,HAMILTON
78932,CARMINE,FAYETTE
78834,CARRIZO SPRINGS,DIMMIT
75006,CARROLLTON,DALLAS
75011,CARROLLTON,DALLAS
75007,CARROLLTON,DENTON
75010,CARROLLTON,DENTON
75633,CARTHAGE,PANOLA
75636,CASON,MORRIS
76831,CASTELL,LLANO
78009,CASTROVILLE,MEDINA
78933,CAT SPRING,AUSTIN
78836,CATARINA,DIMMIT
75832,CAYUGA,ANDERSON
78612,CEDAR CREEK,BASTROP
75104,CEDAR HILL,DALLAS
75106,CEDAR HILL,DALLAS
77415,CEDAR LANE,MATAGORDA
78613,CEDAR PARK,WILLIAMSON
78630,CEDAR PARK,WILLIAMSON
75423,CELESTE,HUNT
75009,CELINA,COLLIN
75935,CENTER,SHELBY
78010,CENTER POINT,KERR
75833,CENTERVILLE,LEON
75758,CHANDLER,HENDERSON
77530,CHANNELVIEW,HARRIS
79018,CHANNING,HARTLEY
77426,CHAPPELL HILL,WASHINGTON
78011,CHARLOTTE,ATASCOSA
75105,CHATFIELD,NAVARRO
76832,CHEROKEE,SAN SABA
75936,CHESTER,TYLER
76431,CHICO,WISE
79201,CHILDRESS,CHILDRESS
79225,CHILLICOTHE,HARDEMAN
76632,CHILTON,FALLS
77613,CHINA,JEFFERSON
76633,CHINA SPRING,MCLENNAN
75937,CHIRENO,NACOGDOCHES
77838,CHRIESMAN,BURLESON
78012,CHRISTINE,ATASCOSA
76935,CHRISTOVAL,TOM GREEN
78108,CIBOLO,GUADALUPE
76437,CISCO,EASTLAND
79226,CLARENDON,DONLEY
75426,CLARKSVILLE,RED RIVER
79019,CLAUDE,ARMSTRONG
75637,CLAYTON,PANOLA
76031,CLEBURNE,JOHNSON
76033,CLEBURNE,JOHNSON
77327,CLEVELAND,LIBERTY
77328,CLEVELAND,LIBERTY
76634,CLIFTON,BOSQUE
79836,CLINT,EL PASO
77531,CLUTE,BRAZORIA
79510,CLYDE,CALLAHAN
79511,COAHOMA,HOWARD
77331,COLDSPRING,SAN JACINTO
76834,COLEMAN,COLEMAN
77840,COLLEGE STATION,BRAZOS
77841,COLLEGE STATION,BRAZOS
77842,COLLEGE STATION,BRAZOS
77843,COLLEGE STATION,BRAZOS
77844,COLLEGE STATION,BRAZOS
77845,COLLEGE STATION,BRAZOS
76034,COLLEYVILLE,TARRANT
76233,COLLINSVILLE,GRAYSON
75938,COLMESNEIL,TYLER
79512,COLORADO CITY,MITCHELL
78934,COLUMBUS,COLORADO
76442,COMANCHE,COMANCHE
78535,COMBES,CAMERON
78013,COMFORT,KENDALL
75428,COMMERCE,HUNT
75429,COMMERCE,HUNT
75431,COMO,HOPKINS
78838,CONCAN,UVALDE
77850,CONCORD,LEON
77301,CONROE,MONTGOMERY
77302,CONROE,MONTGOMERY
77303,CONROE,MONTGOMERY
77304,CONROE,MONTGOMERY
77305,CONROE,MONTGOMERY
77306,CONROE,MONTGOMERY
77384,CONROE,MONTGOMERY
77385,CONROE,MONTGOMERY
78109,CONVERSE,BEXAR
75558,COOKVILLE,TITUS
76635,COOLIDGE,LIMESTONE
75432,COOPER,DELTA
75121,COPEVILLE,COLLIN
75019,COPPELL,DALLAS
75099,COPPELL,DALLAS
76522,COPPERAS COVE,CORYELL
78401,CORPUS CHRISTI,NUECES
78402,CORPUS CHRISTI,NUECES
78403,CORPUS CHRISTI,NUECES
78404,CORPUS CHRISTI,NUECES
78405,CORPUS CHRISTI,NUECES
78406,CORPUS CHRISTI,NUECES
78407,CORPUS CHRISTI,NUECES
78408,CORPUS CHRISTI,NUECES
78409,CORPUS CHRISTI,NUECES
78410,CORPUS CHRISTI,NUECES
78411,CORPUS CHRISTI,NUECES
78412,CORPUS CHRISTI,NUECES
78413,CORPUS CHRISTI,NUECES
78414,CORPUS CHRISTI,NUECES
78415,CORPUS CHRISTI,NUECES
78416,CORPUS CHRISTI,NUECES
78417,CORPUS CHRISTI,NUECES
78418,CORPUS CHRISTI,NUECES
78419,CORPUS CHRISTI,NUECES
78426,CORPUS CHRISTI,NUECES
78427,CORPUS CHRISTI,NUECES
78460,CORPUS CHRISTI,NUECES
78463,CORPUS CHRISTI,NUECES
78465,CORPUS CHRISTI,NUECES
78466,CORPUS CHRISTI,NUECES
78467,CORPUS CHRISTI,NUECES
78468,CORPUS CHRISTI,NUECES
78469,CORPUS CHRISTI,NUECES
78472,CORPUS CHRISTI,NUECES
78480,CORPUS CHRISTI,NUECES
75939,CORRIGAN,POLK
75109,CORSICANA,NAVARRO
75110,CORSICANA,NAVARRO
75151,CORSICANA,NAVARRO
78614,COST,GONZALES
79021,COTTON CENTER,HALE
78014,COTULLA,LA SALLE
78615,COUPLAND,WILLIAMSON
76636,COVINGTON,HILL
79730,COYANOSA,PECOS
75114,CRANDALL,KAUFMAN
79731,CRANE,CRANE
76637,CRANFILLS GAP,BOSQUE
76638,CRAWFORD,MCLENNAN
76035,CRESSON,HOOD
75835,CROCKETT,HOUSTON
77532,CROSBY,HARRIS
79322,CROSBYTON,CROSBY
76443,CROSS PLAINS,CALLAHAN
79227,CROWELL,FOARD
76036,CROWLEY,TARRANT
78839,CRYSTAL CITY,ZAVALA
77954,CUERO,DE WITT
75433,CUMBY,HOPKINS
75759,CUNEY,CHEROKEE
75434,CUNNINGHAM,LAMAR
75760,CUSHING,NACOGDOCHES
77410,CYPRESS,HARRIS
77429,CYPRESS,HARRIS
77433,CYPRESS,HARRIS
78850,D HANIS,MEDINA
75638,DAINGERFIELD,MORRIS
77533,DAISETTA,LIBERTY
78616,DALE,CALDWELL
79022,DALHART,DALLAM
77332,DALLARDSVILLE,POLK
75252,DALLAS,COLLIN
75287,DALLAS,COLLIN
75201,DALLAS,DALLAS
75202,DALLAS,DALLAS
75203,DALLAS,DALLAS
75204,DALLAS,DALLAS
75205,DALLAS,DALLAS
75206,DALLAS,DALLAS
75207,DALLAS,DALLAS
75208,DALLAS,DALLAS
75209,DALLAS,DALLAS
75210,DALLAS,DALLAS
75211,DALLAS,DALLAS
75212,DALLAS,DALLAS
75214,DALLAS,DALLAS
75215,DALLAS,DALLAS
75216,DALLAS,DALLAS
75217,DALLAS,DALLAS
75218,DALLAS,DALLAS
75219,DALLAS,DALLAS
75220,DALLAS,DALLAS
75221,DALLAS,DALLAS
75222,DALLAS,DALLAS
75223,DALLAS,DALLAS
75224,DALLAS,DALLAS
75225,DALLAS,DALLAS
75226,DALLAS,DALLAS
75227,DALLAS,DALLAS
75228,DALLAS,DALLAS
75229,DALLAS,DALLAS
75230,DALLAS,DALLAS
75231,DALLAS,DALLAS
75232,DALLAS,DALLAS
75233,DALLAS,DALLAS
75234,DALLAS,DALLAS
75235,DALLAS,DALLAS
75236,DALLAS,DALLAS
75237,DALLAS,DALLAS
75238,DALLAS,DALLAS
75240,DALLAS,DALLAS
75241,DALLAS,DALLAS
75242,DALLAS,DALLAS
75243,DALLAS,DALLAS
75244,DALLAS,DALLAS
75246,DALLAS,DALLAS
75247,DALLAS,DALLAS
75248,DALLAS,DALLAS
75249,DALLAS,DALLAS
75250,DALLAS,DALLAS
75251,DALLAS,DALLAS
75253,DALLAS,DALLAS
75254,DALLAS,DALLAS
75260,DALLAS,DALLAS
75261,DALLAS,DALLAS
75265,DALLAS,DALLAS
75266,DALLAS,DALLAS
75270,DALLAS,DALLAS
75275,DALLAS,DALLAS
75277,DALLAS,DALLAS
75283,DALLAS,DALLAS
75301,DALLAS,DALLAS
75312,DALLAS,DALLAS
75313,DALLAS,DALLAS
75315,DALLAS,DALLAS
75320,DALLAS,DALLAS
75326,DALLAS,DALLAS
75336,DALLAS,DALLAS
75339,DALLAS,DALLAS
75342,DALLAS,DALLAS
75354,DALLAS,DALLAS
75355,DALLAS,DALLAS
75356,DALLAS,DALLAS
75357,DALLAS,DALLAS
75359,DALLAS,DALLAS
75360,DALLAS,DALLAS
75367,DALLAS,DALLAS
75370,DALLAS,DALLAS
75371,DALLAS,DALLAS
75372,DALLAS,DALLAS
75374,DALLAS,DALLAS
75376,DALLAS,DALLAS
75378,DALLAS,DALLAS
75379,DALLAS,DALLAS
75380,DALLAS,DALLAS
75381,DALLAS,DALLAS
75382,DALLAS,DALLAS
75390,DALLAS,DALLAS
75397,DALLAS,DALLAS
77430,DAMON,BRAZORIA
77534,DANBURY,BRAZORIA
77431,DANCIGER,BRAZORIA
77432,DANEVANG,WHARTON
79024,DARROUZETT,LIPSCOMB
76523,DAVILLA,MILAM
79025,DAWN,DEAF SMITH
76639,DAWSON,NAVARRO
77535,DAYTON,LIBERTY
75639,DE BERRY,PANOLA
75559,DE KALB,BOWIE
76444,DE LEON,COMANCHE
77852,DEANVILLE,BURLESON
76234,DECATUR,WISE
77536,DEER PARK,HARRIS
78840,DEL RIO,VAL VERDE
78841,DEL RIO,VAL VERDE
78842,DEL RIO,VAL VERDE
78617,DEL VALLE,TRAVIS
79837,DELL CITY,HUDSPETH
78536,DELMITA,STARR
75020,DENISON,GRAYSON
75021,DENISON,GRAYSON
76439,DENNIS,PARKER
76201,DENTON,DENTON
76202,DENTON,DENTON
76203,DENTON,DENTON
76204,DENTON,DENTON
76205,DENTON,DENTON
76206,DENTON,DENTON
76207,DENTON,DENTON
76208,DENTON,DENTON
76209,DENTON,DENTON
76210,DENTON,DENTON
79323,DENVER CITY,YOAKUM
75435,DEPORT,LAMAR
76445,DESDEMONA,EASTLAND
75115,DESOTO,DALLAS
75123,DESOTO,DALLAS
75436,DETROIT,RED RIVER
77538,DEVERS,LIBERTY
78016,DEVINE,MEDINA
77614,DEWEYVILLE,NEWTON
75640,DIANA,UPSHUR
75941,DIBOLL,ANGELINA
79229,DICKENS,DICKENS
77539,DICKINSON,GALVESTON
75437,DIKE,HOPKINS
78017,DILLEY,FRIO
77853,DIME BOX,LEE
79027,DIMMITT,CASTRO
78350,DINERO,LIVE OAK
77333,DOBBIN,MONTGOMERY
75438,DODD CITY,FANNIN
77334,DODGE,WALKER
79230,DODSON,COLLINGSWORTH
75838,DONIE,FREESTONE
78537,DONNA,HIDALGO
78618,DOSS,GILLESPIE
75942,DOUCETTE,TYLER
79231,DOUGHERTY,FLOYD
75943,DOUGLASS,NACOGDOCHES
75560,DOUGLASSVILLE,CASS
78619,DRIFTWOOD,HAYS
78620,DRIPPING SPRINGS,HAYS
78351,DRISCOLL,NUECES
78851,DRYDEN,TERRELL
76446,DUBLIN,ERATH
79029,DUMAS,MOORE
75116,DUNCANVILLE,DALLAS
75137,DUNCANVILLE,DALLAS
75138,DUNCANVILLE,DALLAS
79607,DYESS AFB,TAYLOR
77434,EAGLE LAKE,COLORADO
78852,EAGLE PASS,MAVERICK
78853,EAGLE PASS,MAVERICK
76802,EARLY,BROWN
76803,EARLY,BROWN
79031,EARTH,LAMB
77435,EAST BERNARD,WHARTON
76448,EASTLAND,EASTLAND
75641,EASTON,GREGG
78111,ECLETO,KARNES
75439,ECTOR,FANNIN
78538,EDCOUCH,HIDALGO
76524,EDDY,MCLENNAN
76837,EDEN,CONCHO
75117,EDGEWOOD,VAN ZANDT
78539,EDINBURG,HIDALGO
78540,EDINBURG,HIDALGO
78541,EDINBURG,HIDALGO
78542,EDINBURG,HIDALGO
79032,EDMONSON,HALE
77957,EDNA,JACKSON
78352,EDROY,SAN PATRICIO
77436,EGYPT,WHARTON
77437,EL CAMPO,WHARTON
78860,EL INDIO,MAVERICK
79901,EL PASO,EL PASO
79902,EL PASO,EL PASO
79903,EL PASO,EL PASO
79904,EL PASO,EL PASO
79905,EL PASO,EL PASO
79906,EL PASO,EL PASO
79907,EL PASO,EL PASO
79908,EL PASO,EL PASO
79911,EL PASO,EL PASO
79912,EL PASO,EL PASO
79913,EL PASO,EL PASO
79915,EL PASO,EL PASO
79917,EL PASO,EL PASO
79920,EL PASO,EL PASO
79922,EL PASO,EL PASO
79923,EL PASO,EL PASO
79924,EL PASO,EL PASO
79925,EL PASO,EL PASO
79926,EL PASO,EL PASO
79927,EL PASO,EL PASO
79928,EL PASO,EL PASO
79929,EL PASO,EL PASO
79930,EL PASO,EL PASO
79931,EL PASO,EL PASO
79932,EL PASO,EL PASO
79934,EL PASO,EL PASO
79935,EL PASO,EL PASO
79936,EL PASO,EL PASO
79937,EL PASO,EL PASO
79938,EL PASO,EL PASO
79940,EL PASO,EL PASO
79941,EL PASO,EL PASO
79945,EL PASO,EL PASO
79949,EL PASO,EL PASO
79951,EL PASO,EL PASO
79953,EL PASO,EL PASO
79960,EL PASO,EL PASO
79968,EL PASO,EL PASO
79995,EL PASO,EL PASO
79996,EL PASO,EL PASO
79997,EL PASO,EL PASO
79998,EL PASO,EL PASO
88575,EL PASO,EL PASO
76936,ELDORADO,SCHLEICHER
76360,ELECTRA,WICHITA
78621,ELGIN,BASTROP
75839,ELKHART,ANDERSON
78938,ELLINGER,FAYETTE
76640,ELM MOTT,MCLENNAN
77440,ELMATON,MATAGORDA
78112,ELMENDORF,BEXAR
75118,ELMO,KAUFMAN
78543,ELSA,HIDALGO
75642,ELYSIAN FIELDS,HARRISON
75440,EMORY,RAINS
78019,ENCINAL,LA SALLE
78353,ENCINO,BROOKS
76452,ENERGY,COMANCHE
75441,ENLOE,DELTA
75119,ENNIS,ELLIS
75120,ENNIS,ELLIS
76937,EOLA,CONCHO
76238,ERA,COOKE
79233,ESTELLINE,HALL
75944,ETOILE,NACOGDOCHES
76039,EULESS,TARRANT
76040,EULESS,TARRANT
75124,EUSTACE,HENDERSON
77615,EVADALE,JASPER
76525,EVANT,CORYELL
79838,FABENS,EL PASO
75840,FAIRFIELD,FREESTONE
78355,FALFURRIAS,BROOKS
78113,FALLS CITY,KARNES
77960,FANNIN,GOLIAD
75442,FARMERSVILLE,COLLIN
79033,FARNSWORTH,OCHILTREE
79325,FARWELL,PARMER
75132,FATE,ROCKWALL
78940,FAYETTEVILLE,FAYETTE
78622,FENTRESS,CALDWELL
75125,FERRIS,ELLIS
79326,FIELDTON,LAMB
78623,FISCHER,COMAL
76526,FLAT,CORYELL
78941,FLATONIA,FAYETTE
75762,FLINT,SMITH
79234,FLOMOT,MOTLEY
76527,FLORENCE,WILLIAMSON
78114,FLORESVILLE,WILSON
75022,FLOWER MOUND,DENTON
75027,FLOWER MOUND,DENTON
75028,FLOWER MOUND,DENTON
79235,FLOYDADA,FLOYD
79517,FLUVANNA,SCURRY
77855,FLYNN,LEON
79034,FOLLETT,LIPSCOMB
76239,FORESTBURG,MONTAGUE
75126,FORNEY,KAUFMAN
76041,FORRESTON,ELLIS
79733,FORSAN,HOWARD
79916,FORT BLISS,EL PASO
79918,FORT BLISS,EL PASO
79734,FORT DAVIS,JEFF DAVIS
79839,FORT HANCOCK,HUDSPETH
76544,FORT HOOD,BELL
79735,FORT STOCKTON,PECOS
76101,FORT WORTH,TARRANT
76102,FORT WORTH,TARRANT
76103,FORT WORTH,TARRANT
76104,FORT WORTH,TARRANT
76105,FORT WORTH,TARRANT
76106,FORT WORTH,TARRANT
76107,FORT WORTH,TARRANT
76108,FORT WORTH,TARRANT
76109,FORT WORTH,TARRANT
76110,FORT WORTH,TARRANT
76111,FORT WORTH,TARRANT
76112,FORT WORTH,TARRANT
76113,FORT WORTH,TARRANT
76114,FORT WORTH,TARRANT
76115,FORT WORTH,TARRANT
76116,FORT WORTH,TARRANT
76118,FORT WORTH,TARRANT
76119,FORT WORTH,TARRANT
76120,FORT WORTH,TARRANT
76121,FORT WORTH,TARRANT
76122,FORT WORTH,TARRANT
76123,FORT WORTH,TARRANT
76124,FORT WORTH,TARRANT
76126,FORT WORTH,TARRANT
76129,FORT WORTH,TARRANT
76131,FORT WORTH,TARRANT
76132,FORT WORTH,TARRANT
76133,FORT WORTH,TARRANT
76134,FORT WORTH,TARRANT
76135,FORT WORTH,TARRANT
76136,FORT WORTH,TARRANT
76137,FORT WORTH,TARRANT
